YEAR,MONTH,SUBDIVISION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL
2015,1,Assam & Meghalaya,18.6,31.3,71.3,200.7,343.6,583.3,478.3,488.5,297.7,142.4,57.4,18.6,2731.7
2015,1,Sub-Himalayan West Bengal & Sikkim,20.1,28.9,63.0,183.7,345.5,436.6,716.7,612.6,376.4,122.3,50.4,15.5,2971.7
2015,1,Naga-Mani-Mizo-Tripura,17.7,36.0,73.1,177.4,287.5,374.0,480.2,334.1,268.8,129.2,40.5,26.1,2244.6
2015,1,Arunachal Pradesh,31.0,35.2,89.4,223.0,333.7,562.9,577.9,548.2,453.1,176.2,54.3,25.3,3110.2
2016,1,Assam & Meghalaya,24.0,32.5,74.7,142.2,312.7,389.6,486.9,538.3,345.7,146.5,54.9,23.3,2571.3
2016,1,Sub-Himalayan West Bengal & Sikkim,20.1,27.5,78.2,191.5,323.7,762.2,874.6,625.6,508.4,161.9,59.1,19.4,3652.2
2016,1,Naga-Mani-Mizo-Tripura,20.0,34.3,67.3,173.0,323.2,374.7,379.6,445.8,279.9,101.1,33.5,20.4,2252.8
2016,1,Arunachal Pradesh,32.5,42.2,84.0,235.4,487.8,647.0,829.2,698.6,350.8,205.6,62.4,29.5,3705.0
2017,1,Assam & Meghalaya,21.6,25.9,69.7,160.7,338.5,517.8,463.1,450.2,285.3,166.9,58.7,18.8,2577.2
2017,1,Sub-Himalayan West Bengal & Sikkim,22.6,28.0,89.8,206.3,391.3,630.5,585.2,604.3,371.9,190.4,56.1,21.5,3197.9
2017,1,Naga-Mani-Mizo-Tripura,18.6,39.1,88.9,141.5,281.1,327.6,478.6,417.0,240.7,121.3,42.3,22.2,2218.9
2017,1,Arunachal Pradesh,30.2,41.3,110.7,288.9,383.7,633.2,895.0,692.9,455.4,203.8,52.8,27.7,3815.6
2018,1,Assam & Meghalaya,21.7,28.0,65.1,138.7,308.4,410.6,608.1,526.7,277.4,131.2,55.9,18.5,2590.3
2018,1,Sub-Himalayan West Bengal & Sikkim,21.7,28.5,68.6,193.2,337.7,466.2,523.9,539.9,381.2,137.0,45.5,17.3,2760.7
2018,1,Naga-Mani-Mizo-Tripura,23.1,39.6,85.7,236.0,309.0,421.4,516.0,443.8,313.1,134.0,58.9,29.1,2609.7
2018,1,Arunachal Pradesh,31.7,38.2,130.3,299.3,516.0,799.2,848.7,564.8,462.9,178.6,59.6,25.6,3954.9
2019,1,Assam & Meghalaya,25.3,28.8,82.6,166.6,287.7,551.7,635.1,476.8,368.9,127.9,48.7,25.2,2825.3
2019,1,Sub-Himalayan West Bengal & Sikkim,21.7,35.1,65.7,206.4,346.4,698.6,620.2,756.6,376.5,139.6,49.7,19.9,3336.4
2019,1,Naga-Mani-Mizo-Tripura,18.7,38.3,66.2,172.0,289.4,374.1,437.6,371.6,324.2,105.5,44.0,21.4,2263.0
2019,1,Arunachal Pradesh,29.0,37.4,88.0,253.8,314.8,586.8,780.8,682.7,337.4,156.1,49.2,31.8,3347.8
2020,1,Assam & Meghalaya,28.2,34.9,74.1,222.3,371.1,563.4,732.3,572.5,315.0,193.4,56.4,26.1,3189.7
2020,1,Sub-Himalayan West Bengal & Sikkim,20.1,29.9,74.4,225.4,347.7,705.1,863.6,622.4,527.1,159.9,52.7,23.9,3652.2
2020,1,Naga-Mani-Mizo-Tripura,22.2,38.5,80.4,159.2,367.1,489.0,459.4,484.1,338.0,139.3,39.0,23.8,2640.0
2020,1,Arunachal Pradesh,36.3,47.7,123.9,274.1,375.5,584.5,691.8,760.2,523.7,232.2,72.4,27.6,3749.9
2021,1,Assam & Meghalaya,17.1,33.9,82.2,156.7,298.6,385.8,596.1,512.9,387.6,160.1,58.6,16.5,2706.1
2021,1,Sub-Himalayan West Bengal & Sikkim,20.8,39.2,93.6,239.3,407.0,580.7,838.2,563.5,543.8,191.0,44.6,22.0,3583.7
2021,1,Naga-Mani-Mizo-Tripura,21.9,39.8,70.4,144.0,260.0,386.5,520.8,469.0,270.2,135.7,41.7,30.6,2390.6
2021,1,Arunachal Pradesh,33.3,35.9,117.7,209.7,469.6,564.3,572.9,578.8,463.4,170.3,59.0,28.4,3303.3
2022,1,Assam & Meghalaya,21.9,28.7,80.6,136.1,348.0,474.5,577.7,512.6,363.1,140.6,44.0,22.6,2750.4
2022,1,Sub-Himalayan West Bengal & Sikkim,18.3,33.7,80.5,170.3,296.3,546.7,640.2,543.8,356.9,143.3,52.2,18.5,2900.7
2022,1,Naga-Mani-Mizo-Tripura,28.1,37.1,91.4,161.4,307.6,457.6,532.1,476.1,331.5,142.3,43.7,28.8,2637.7
2022,1,Arunachal Pradesh,35.1,40.8,91.6,268.3,462.5,644.6,848.8,724.9,503.1,181.4,55.2,25.4,3881.7
2023,1,Assam & Meghalaya,20.1,34.7,59.0,157.0,299.2,392.3,547.8,445.9,291.8,151.1,40.7,22.4,2462.0
2023,1,Sub-Himalayan West Bengal & Sikkim,18.9,32.7,73.4,249.4,368.0,530.1,682.7,768.5,469.5,189.0,54.0,23.5,3459.7
2023,1,Naga-Mani-Mizo-Tripura,29.1,42.8,86.0,201.4,309.2,489.2,482.2,476.8,338.7,132.4,40.9,24.0,2652.7
2023,1,Arunachal Pradesh,32.3,44.1,107.2,225.5,339.2,586.5,635.9,568.1,444.4,162.1,52.0,31.4,3228.7
2024,1,Assam & Meghalaya,19.3,33.7,83.2,180.6,288.7,497.6,678.6,531.3,403.0,186.9,64.6,22.2,2989.7
2024,1,Sub-Himalayan West Bengal & Sikkim,16.7,29.3,75.8,196.2,278.6,559.8,609.0,553.5,334.4,118.0,38.8,12.6,2822.7
2024,1,Naga-Mani-Mizo-Tripura,24.5,32.9,65.9,168.9,242.8,418.9,354.6,364.2,292.6,100.2,44.2,21.1,2130.8
2024,1,Arunachal Pradesh,22.7,39.5,85.7,219.0,428.0,579.5,731.2,658.4,374.0,149.8,44.7,28.1,3360.6
2025,1,Assam & Meghalaya,23.8,40.2,98.5,214.7,390.2,656.7,556.4,449.8,348.5,150.6,67.5,25.9,3022.8
2025,1,Sub-Himalayan West Bengal & Sikkim,20.6,31.6,61.9,186.2,340.1,463.0,724.7,677.4,341.2,115.7,39.6,17.8,3019.8
2025,1,Naga-Mani-Mizo-Tripura,26.2,44.5,75.6,220.4,358.6,401.7,580.3,518.7,354.9,125.5,59.7,32.9,2799.0
2025,1,Arunachal Pradesh,26.0,38.0,93.7,212.7,426.3,663.5,540.0,664.5,422.5,196.5,57.9,26.0,3367.6
